港台频道,#genre#
HOY77,http://j.s.bkpcp.top/jj/77hoy
美亚电影,http://108.181.20.197/livehttpplay?channel_id=20197
Astro QJ,http://php.jdshipin.com/smt.php?id=Quanjia
美亞電影台,http://j.s.bkpcp.top/jj/mydy3
天映经典,http://j.s.bkpcp.top/js/tyjd1
翡翠台,http://j.s.bkpcp.top/jj/fct
龙华电影,http://j.s.bkpcp.top/js/lhdy
美亚电影,http://j.s.bkpcp.top/js/mydy3
Astro QJ,http://j.s.bkpcp.top/js/aqj
龙华电影,http://j.s.bkpcp.top/js/lhdy
天映经典,http://j.s.bkpcp.top/js/tyjd2
Astro QJ,http://j.s.bkpcp.top/jj/astroqj
TVB翡翠台,http://j.s.bkpcp.top/jj/fct
天映经典,http://j.s.bkpcp.top/js/tyjd
美亚电影,http://j.s.bkpcp.top/js/mydy4
TVB星河,http://j.s.bkpcp.top/js/xht2
美亚电影,http://j.s.bkpcp.top/js/mydy2
Astro AEC,http://j.s.bkpcp.top/js/aaec
凤凰资讯,https://k44991.kylintv.tv/live/pxinhd_iphone.m3u8
Astro AEC,http://php.jdshipin.com/smt.php?id=AEC
爱奇艺,http://php.jdshipin.com/smt.php?id=Qiyi
龙华偶像,http://j.s.bkpcp.top/js/lhox
TVB翡翠台,http://goo.bkpcp.top/mg/tvbfct
凤凰中文,https://k44991.kylintv.tv/live/pxna_iphone.m3u8
TVB翡翠台,http://z.b.bkpcp.top/m.php?id=tvbfct
凤凰资讯,http://b.j.bkpcp.top/bjyd/fhzx
翡翠台,http://mytvsuper.27481716.xyz/mytvsuper/J
明珠台,http://mytvsuper.27481716.xyz/mytvsuper/B
凤凰中文,http://f.h.bkpcp.top/fhx/fhzw
凤凰香港,http://f.h.bkpcp.top/fhx/fhhk
凤凰香港,http://b.j.bkpcp.top/bjyd/fhhk
凤凰资讯,http://f.h.bkpcp.top/fhx/fhzx
凤凰中文,http://b.j.bkpcp.top/bjyd/fhzw
千禧经典台,http://j.s.bkpcp.top/js/qxjdt
天映经典,http://j.s.bkpcp.top/js/tyjd3
