更新时间,#genre#
2025-12-02 07:30:48,url
央视频道,#genre#:
CCTV-1 综合,http://114.104.141.251:8688/udp/238.1.78.166:7200
CCTV-1 综合,http://114.104.183.39:8688/udp/238.1.78.166:7200
CCTV-2 财经,http://114.104.141.251:8688/udp/238.1.78.235:7752
CCTV-2 财经,http://114.104.141.207:8688/udp/238.1.78.235:7752
CCTV-2 财经,http://114.104.183.39:8688/udp/238.1.78.235:7752
CCTV-6 电影,http://114.104.141.207:8688/udp/238.1.78.172:7248
CCTV-6 电影,http://114.104.183.39:8688/udp/238.1.78.172:7248
CCTV-7 国防军事,http://114.104.183.39:8688/udp/238.1.78.239:7784
CCTV-7 国防军事,http://114.104.183.39:8688/udp/238.1.78.239:7784
CCTV-8 电视剧,http://114.104.183.39:8688/udp/238.1.78.173:7256
CCTV-9 记录,http://114.104.141.251:8688/udp/238.1.78.240:7792
CCTV-9 记录,http://114.104.141.207:8688/udp/238.1.78.240:7792
CCTV-10 科教,http://114.104.183.39:8688/udp/238.1.78.241:7800
CCTV-11 戏曲,http://114.104.141.207:8688/udp/238.1.78.206:7502
CCTV-12 社会与法,http://114.104.141.207:8688/udp/238.1.78.242:7808
CCTV央视台球,http://114.104.141.251:8688/udp/238.1.79.59:4608
CCTV央视台球,http://114.104.141.207:8688/udp/238.1.79.59:4608
CCTV央视文化精品,http://114.104.183.39:8688/udp/238.1.79.54:4568
CCTV女性时尚,http://114.104.141.207:8688/udp/238.1.79.55:4576
CCTV电视指南,http://114.104.183.39:8688/udp/238.1.79.53:4560
CCTV高尔夫网球,http://114.104.183.39:8688/udp/238.1.79.58:4600

卫视频道,#genre#:
三沙卫视,http://114.104.141.207:8688/udp/238.1.78.27:6144
东方卫视,http://114.104.141.251:8688/udp/238.1.78.163:7176
东方卫视,http://114.104.141.207:8688/udp/238.1.78.163:7176
东方卫视,http://114.104.183.39:8688/udp/238.1.78.163:7176
北京卫视,http://114.104.141.207:8688/udp/238.1.78.162:7168
四川卫视,http://114.104.141.207:8688/udp/238.1.78.30:6168
安徽卫视,http://114.104.141.251:8688/udp/238.1.78.150:7072
山东卫视,http://114.104.141.207:8688/udp/238.1.78.169:7224
山东卫视,http://114.104.183.39:8688/udp/238.1.78.169:7224
广西卫视,http://114.104.141.251:8688/udp/238.1.78.70:6432
新疆卫视,http://114.104.141.251:8688/udp/238.1.78.110:6752
新疆卫视,http://114.104.141.207:8688/udp/238.1.78.110:6752
江苏卫视,http://114.104.183.39:8688/udp/238.1.78.165:7192
河北卫视,http://114.104.183.39:8688/udp/238.1.78.245:7832
浙江卫视,http://114.104.141.251:8688/udp/238.1.78.164:7184
浙江卫视,http://114.104.183.39:8688/udp/238.1.78.164:7184
深圳卫视,http://114.104.141.207:8688/udp/238.1.78.156:7120
湖北卫视,http://114.104.141.251:8688/udp/238.1.78.168:7216
甘肃卫视,http://114.104.141.251:8688/udp/238.1.79.36:4400
贵州卫视,http://114.104.183.39:8688/udp/238.1.78.244:7824
辽宁卫视,http://114.104.141.251:8688/udp/238.1.78.21:6096
青海卫视,http://114.104.183.39:8688/udp/238.1.78.102:6688
黑龙江卫视,http://114.104.183.39:8688/udp/238.1.78.159:7144

安徽频道,#genre#:
合肥新闻频道,http://114.104.183.39:8688/udp/238.1.78.111:6760
安徽农业科教,http://114.104.141.207:8688/udp/238.1.79.40:4432
安徽农业科教,http://114.104.183.39:8688/udp/238.1.79.40:4432
安徽国际频道,http://114.104.141.251:8688/udp/238.1.78.61:6360
安徽国际频道,http://114.104.141.207:8688/udp/238.1.78.61:6360
安徽国际频道,http://114.104.183.39:8688/udp/238.1.78.61:6360
安徽影视频道,http://114.104.183.39:8688/udp/238.1.79.42:4448
安徽综艺体育,http://114.104.183.39:8688/udp/238.1.79.41:4440
旌德新闻综合,http://114.104.183.39:8688/udp/238.1.78.215:7592
淮北教育频道,http://114.104.183.39:8688/udp/238.1.78.137:6968
淮南新闻综合,http://114.104.141.207:8688/udp/238.1.78.113:6776
湾沚新闻综合,http://114.104.141.207:8688/udp/238.1.78.187:7368
界首综合频道,http://114.104.141.207:8688/udp/238.1.78.195:7432
繁昌新闻综合,http://114.104.141.251:8688/udp/238.1.78.190:7392
绩溪新闻频道,http://114.104.141.251:8688/udp/238.1.78.218:7616
肥西新闻综合,http://114.104.141.207:8688/udp/238.1.78.185:7352
萧县新闻综合,http://114.104.183.39:8688/udp/238.1.79.46:4480
金寨综合频道,http://114.104.141.207:8688/udp/238.1.79.21:4280
金鹰卡通,http://114.104.183.39:8688/udp/238.1.78.100:6672
阜阳教育频道,http://114.104.183.39:8688/udp/238.1.78.126:6880
阜阳新闻综合,http://114.104.141.207:8688/udp/238.1.78.124:6864
马鞍山公共频道,http://114.104.141.207:8688/udp/238.1.78.77:6488
黄山公共频道,http://114.104.141.251:8688/udp/238.1.78.131:6920

其他频道,#genre#:
中国教育CETV-1,http://114.104.141.207:8688/udp/238.1.78.158:7136
动漫秀场,http://114.104.183.39:8688/udp/238.1.78.154:7104
卡酷少儿,http://114.104.141.251:8688/udp/238.1.78.97:6648
生活时尚,http://114.104.141.207:8688/udp/238.1.78.155:7112


404: Not Found
